Booking ID,Date of Booking,Time,Customer ID,Gender,Age,Origin Country,State,Location,Destination Country,Destination City,No. Of People,Check-in date,No of Days,Check-Out Date,Rooms,Hotel Name,Hotel Rating,Payment Mode,Bank Name,Booking Price[SGD],Discount,GST,Profit Margin
DDMY00029,1/2/2010,6:45:00,MY00009,Male,52,Malaysia,Sarawak,Miri,Canada,Toronto,3,1/14/2010,3,1/17/2010,2,Ace Hotel,4.6,Internet Banking,EZ-Link,222,24%,0.07,0.14
DDID00030,1/2/2010,4:55:32,ID00003,Male,22,Indonesia,Semarang,Central Java,Canada,Ottawa,2,1/10/2010,4,1/14/2010,1,The Worldly Traveler,4.5,Internet Banking,EZ-Link,329,2%,0.07,0.14
DDVN00031,1/2/2010,10:37:52,VN00003,Male,34,Vietnam,Tuy Phong,Binh Thuan,Israel,Beersheba,2,1/3/2010,2,1/5/2010,1,Cape Grace,4.4,Debit Card,United Overseas Bank (UOB),223,9%,0.07,0.24
DDTH00032,1/2/2010,15:25:01,TH00004,Female,26,Thailand,Samut Prakan,Samut Prakan,Japan,Kobe,5,1/18/2010,7,1/25/2010,3,The Mississippi Hotel,4.4,Credit Card,Bank of Singapore (BOS),251,17%,0.07,0.14
DDVN00033,1/2/2010,16:02:36,VN00004,Male,27,Vietnam,Thach Thanh,Thanh Hoa,Nepal,Patan,3,1/11/2010,7,1/18/2010,2,AC Hotel,4.3,Debit Card,DBS Bank,125,20%,0.07,0.2
DDKH00034,1/2/2010,9:48:22,KH00004,Female,37,Cambodia,Phnum Touch,Kampong Speu,Denmark,Randers,6,1/15/2010,1,1/16/2010,3,Adam Lake B&B,4.4,Wallet,Grab,173,13%,0.07,0.22
DDSG00035,1/3/2010,12:50:35,SG00010,Male,25,Singapore,North,Central Water Catchment,Canada,Ottawa,3,1/18/2010,7,1/25/2010,2,Zzz Motel,4.5,Credit Card,CITI Bank,151,18%,0.07,0.15
DDID00036,1/3/2010,5:59:36,ID00004,Female,19,Indonesia,Cilegon,Banten,Iceland,Akureyri,2,2/16/2010,1,2/17/2010,1,The Langham,3.8,Internet Banking,CITI Bank,99,7%,0.07,0.22
DDTH00037,1/3/2010,11:19:10,TH00005,Female,22,Thailand,Khon Kaen,Khon Kaen,Brazil,Brasília,2,1/24/2010,5,1/29/2010,1,Happy Times Hotel,4.6,COD,Cash,333,9%,0.07,0.14
DDPH00038,1/3/2010,10:31:17,PH00002,Male,41,Philippines,Cavite,General Trias,Japan,Sapporo,5,1/4/2010,1,1/5/2010,3,Ebony Tropic Motel,4.5,Debit Card,Cash,214,18%,0.07,0.22
DDPH00039,1/3/2010,18:32:43,PH00003,Male,42,Philippines,Pangasinan,San Carlos,Israel,Haifa,7,1/5/2010,3,1/8/2010,4,Harbor Hotel,4.2,Internet Banking,DBS Bank,244,16%,0.07,0.19
DDSG00040,1/3/2010,4:49:05,SG00011,Female,20,Singapore,East,Pasir Ris,Brazil,Belo Horizonte,4,1/22/2010,7,1/29/2010,2,Acqualina Resort & Spa on the Beach,4.4,COD,HSBC,97,12%,0.07,0.13
DDVN00041,1/3/2010,22:04:52,VN00005,Female,23,Vietnam,Da Lat,Lam Dong,France,Nice,6,1/4/2010,1,1/5/2010,3,Dreamland Guest Home,3.9,Credit Card,Cash,116,14%,0.07,0.3
DDID00042,1/3/2010,9:27:34,ID00005,Male,31,Indonesia,Rangkiling,Jambi,Denmark,Odense,7,1/15/2010,6,1/21/2010,4,Park South Hotel,4.6,Credit Card,Bank of Singapore (BOS),428,11%,0.07,0.1
DDID00043,1/3/2010,11:46:24,ID00006,Female,42,Indonesia,Kemang,Jakarta,Nepal,Birgunj,3,1/11/2010,1,1/12/2010,2,Palm Bliss,4.1,Wallet,DBS Paylah,132,23%,0.07,0.22
DDKH00044,1/3/2010,5:48:21,KH00005,Male,35,Cambodia,Ou Smach,Oddar Meanchey,Colombia,Bello,3,2/14/2010,1,2/15/2010,2,The Harbor Hotel,4.1,Credit Card,Bank of Singapore (BOS),121,16%,0.07,0.15
DDPH00045,1/3/2010,21:04:55,PH00004,Female,54,Philippines,Leyte,Baybay,Iran,Isfahan,1,2/21/2010,8,3/1/2010,1,Stewart Hotel New York,4.4,Internet Banking,EZ-Link,251,24%,0.07,0.14
DDVN00046,1/3/2010,6:01:51,VN00006,Male,22,Vietnam,Da Nang,Da Nang,Nepal,Birgunj,2,3/4/2010,9,3/13/2010,1,Fun Palace Hotels,4.5,Debit Card,CITI Bank,136,22%,0.07,0.13
DDPH00047,1/3/2010,9:46:08,PH00005,Male,46,Philippines,Cavite,Trece Martires,Egypt,Gizeh,7,1/6/2010,8,1/14/2010,4,Fairytale B&B,4.1,Credit Card,Bank of Singapore (BOS),162,21%,0.07,0.13
DDID00048,1/4/2010,22:42:43,ID00007,Male,34,Indonesia,Jatinegara,Jakarta,Ireland,Galway,7,1/5/2010,1,1/6/2010,4,Hotel Da Viva,4.6,Internet Banking,Grab,219,17%,0.07,0.16
DDPH00049,1/4/2010,13:52:45,PH00006,Male,35,Philippines,Cebu,Carcar,Colombia,Soacha,1,1/27/2010,1,1/28/2010,1,Five Star B&B,4.2,Internet Banking,Bank of Singapore (BOS),312,10%,0.07,0.24
DDTH00050,1/4/2010,13:45:10,TH00006,Male,23,Thailand,Tak,Mae Sot,Ireland,Cork,1,2/3/2010,1,2/4/2010,1,Homefront B&B,4.6,Credit Card,Grab,371,9%,0.07,0.18
DDSG00051,1/4/2010,2:29:12,SG00012,Male,58,Singapore,Central,Kallang,Japan,Kyoto,5,2/24/2010,4,2/28/2010,3,Green Tortoise Hostel,4.2,Debit Card,CITI Bank,98,1%,0.07,0.19
DDPH00052,1/4/2010,15:25:40,PH00007,Male,39,Philippines,Iloilo,Iloilo City,Germany,Munich,1,3/8/2010,2,3/10/2010,1,Coast Hotels,4.2,Internet Banking,Grab,98,9%,0.07,0.19
DDTH00053,1/4/2010,12:54:29,TH00007,Female,58,Thailand,Songkhla,Songkhla,Germany,Hanover,1,1/5/2010,1,1/6/2010,1,Holiday Hotel,4.2,COD,Bank of Singapore (BOS),430,18%,0.07,0.2
DDSG00054,1/4/2010,3:23:18,SG00013,Female,52,Singapore,Central,Kallang,Maldives,Eydhafushi,6,1/9/2010,1,1/10/2010,3,The River Front,3.7,Wallet,United Overseas Bank (UOB),80,21%,0.07,0.3
DDMY00055,1/4/2010,4:14:31,MY00010,Female,32,Malaysia,Melaka,Melaka,Canada,Montreal,1,2/8/2010,7,2/15/2010,1,Shilo Inns Rose Garden,4.3,COD,EZ-Link,243,14%,0.07,0.25
DDID00056,1/5/2010,13:52:09,ID00008,Female,57,Indonesia,Malang,East Java,Germany,Hanover,2,1/6/2010,2,1/8/2010,1,The Fresco Hotel,4.3,Wallet,DBS Bank,115,12%,0.07,0.2
DDMY00057,1/5/2010,23:36:38,MY00011,Male,43,Malaysia,Kedah,Alor Setar,India,Mumbai,1,1/23/2010,1,1/24/2010,1,Pod 51 Hotel,4.6,Internet Banking,United Overseas Bank (UOB),183,3%,0.07,0.1
DDID00058,1/5/2010,13:05:32,ID00009,Female,49,Indonesia,Cimanggis,West Java,Nepal,Pokhara,3,2/9/2010,1,2/10/2010,2,Motel Magic,4.6,Debit Card,CITI Bank,371,9%,0.07,0.18
DDPH00059,1/5/2010,16:08:18,PH00008,Male,34,Philippines,Basilan,Lamitan,Israel,Haifa,4,1/6/2010,3,1/9/2010,2,Four Seasons Resort Lanai,4.1,Internet Banking,United Overseas Bank (UOB),121,23%,0.07,0.15
DDPH00060,1/5/2010,13:30:09,PH00009,Male,25,Philippines,Leyte,Ormoc,Iceland,Akureyri,3,3/15/2010,3,3/18/2010,2,Luxus Hotels,4.5,Credit Card,DBS Paylah,253,4%,0.07,0.11
DDMY00061,1/5/2010,22:53:50,MY00012,Male,38,Malaysia,Sabah,Kota Kinabalu,Brazil,Belo Horizonte,1,1/11/2010,5,1/16/2010,1,Homewood Suites,4.3,Debit Card,DBS Bank,125,14%,0.07,0.2
DDMY00062,1/5/2010,15:32:51,MY00013,Female,51,Malaysia,Perak,Ipoh,Colombia,Medellin,2,1/6/2010,2,1/8/2010,1,Cosmos Isle Motel,4.3,Credit Card,HSBC,243,0%,0.07,0.25
DDSG00063,1/5/2010,23:58:43,SG00014,Male,37,Singapore,North-East,Seletar,Brazil,Fortaleza,7,1/15/2010,7,1/22/2010,4,Sunrise Cave,4.6,COD,Grab,219,15%,0.07,0.16
DDTH00064,1/5/2010,15:22:09,TH00008,Female,44,Thailand,Chonburi,Chaophraya Surasak,Iran,Isfahan,6,1/7/2010,3,1/10/2010,3,Lexington,4.2,Wallet,HSBC,430,18%,0.07,0.2
DDMY00065,1/6/2010,3:48:51,MY00014,Male,58,Malaysia,Sarawak,Miri,Iceland,Kopavogur,7,3/14/2010,2,3/16/2010,4,Noble Avenue B&B,4.1,COD,DBS Bank,121,2%,0.07,0.22
DDID00066,1/6/2010,11:09:15,ID00010,Male,31,Indonesia,Kebayoran,Jakarta,India,Bangalore,7,1/7/2010,1,1/8/2010,4,The Herbert Hotel,4.3,COD,United Overseas Bank (UOB),145,20%,0.07,0.24
DDMY00067,1/6/2010,1:31:19,MY00015,Male,41,Malaysia,Perak,Ipoh,Colombia,Medellin,2,1/8/2010,3,1/11/2010,1,Beacon Hill Guest House,4.2,Debit Card,Grab,213,24%,0.07,0.11
DDTH00068,1/6/2010,14:05:52,TH00009,Male,40,Thailand,Songkhla,Hat Yai,Iran,Fars,4,1/26/2010,3,1/29/2010,2,Seascape,4.6,Wallet,CITI Bank,291,13%,0.07,0.16
DDPH00069,1/6/2010,0:04:55,PH00010,Female,51,Philippines,Pampanga,San Fernando,Israel,Jerusalem,1,2/4/2010,4,2/8/2010,1,Blossomwell Resorts,3.8,COD,EZ-Link,98,18%,0.07,0.25
DDPH00070,1/6/2010,12:16:06,PH00011,Male,21,Philippines,Iloilo,Passi,Brazil,Manaus,2,4/10/2010,1,4/11/2010,1,Moonlight Motel,4.5,Internet Banking,DBS Paylah,136,19%,0.07,0.13
DDMY00071,1/6/2010,22:53:39,MY00016,Female,29,Malaysia,Sarawak,Miri,Kenya,Nakaru,7,1/12/2010,8,1/20/2010,4,Premier Travel Inn,4.1,Wallet,HSBC,133,5%,0.07,0.16
DDMY00072,1/6/2010,12:23:18,MY00017,Female,40,Malaysia,Johor,Johor Bahru,Iran,Alborz,1,1/8/2010,3,1/11/2010,1,Paradise Motel,4.2,Credit Card,CITI Bank,430,11%,0.07,0.2
DDSG00073,1/6/2010,0:27:00,SG00015,Male,53,Singapore,Central,Bukit Merah,Denmark,Horsens,1,1/15/2010,3,1/18/2010,1,Four Seasons Hotel Gresham Palace,4.5,COD,United Overseas Bank (UOB),136,10%,0.07,0.13
DDSG00074,1/6/2010,10:04:27,SG00016,Male,54,Singapore,Central,Orchard,Colombia,Bello,2,2/7/2010,3,2/10/2010,1,Big Dreams Hotel,4.6,Wallet,Grab,316,7%,0.07,0.21
DDID00075,1/6/2010,7:03:56,ID00011,Female,34,Indonesia,Banda Aceh,Aceh,New Zealand,Auckland,3,1/20/2010,3,1/23/2010,2,The River Front,4.4,COD,HSBC,173,9%,0.07,0.22
DDMY00076,1/6/2010,8:40:28,MY00018,Male,26,Malaysia,Penang,Seberang Perai,Egypt,Alexandria,6,1/7/2010,1,1/8/2010,3,Jade Bay Resort,4.6,COD,DBS Bank,337,15%,0.07,0.1
DDMY00077,1/6/2010,16:08:09,MY00019,Female,54,Malaysia,Melaka,Melaka,Colombia,Monteria,2,4/2/2010,4,4/6/2010,1,The Huntington Hotel,4.4,COD,Bank of Singapore (BOS),223,4%,0.07,0.24
DDID00078,1/6/2010,11:08:12,ID00012,Male,37,Indonesia,Tanah Abang,Jakarta,Iran,Fars,1,3/2/2010,1,3/3/2010,1,Relax Inn,4.5,COD,Grab,136,23%,0.07,0.13
DDKH00079,1/6/2010,14:01:03,KH00006,Male,29,Cambodia,Varin,Siem Reap,France,Rennes,1,1/7/2010,1,1/8/2010,1,Thompson,4.3,Debit Card,DBS Bank,198,22%,0.07,0.23
DDSG00080,1/7/2010,6:53:41,SG00017,Male,38,Singapore,Central,Bukit Timah,Canada,North York,5,2/25/2010,1,2/26/2010,3,Americana Hotel,4.4,Wallet,Bank of Singapore (BOS),97,25%,0.07,0.13
DDPH00081,1/7/2010,7:53:06,PH00012,Male,28,Philippines,South Cotabato,General Santos,Kenya,Thika,7,1/13/2010,3,1/16/2010,4,The Gregory Hotel,4.4,Debit Card,DBS Paylah,97,10%,0.07,0.13
DDPH00082,1/7/2010,17:17:05,PH00013,Female,39,Philippines,Nueva Ecija,Muñoz,Iceland,Mosfellsbaer,3,2/27/2010,1,2/28/2010,2,The Harbor Hotel,4.6,COD,DBS Bank,316,2%,0.07,0.21
DDKH00083,1/7/2010,13:01:34,KH00007,Female,39,Cambodia,Bar Yakha,Pailin,Colombia,Monteria,5,1/26/2010,3,1/29/2010,3,Comfort Inn,4.7,Credit Card,Grab,309,22%,0.07,0.25
DDSG00084,1/7/2010,14:55:00,SG00018,Male,24,Singapore,North-East,Punggol,Nepal,Kathmandu,6,3/20/2010,3,3/23/2010,3,Blossomwell Resorts,4.6,Debit Card,Bank of Singapore (BOS),333,7%,0.07,0.14
DDTH00085,1/7/2010,23:33:44,TH00010,Female,52,Thailand,Rayong,Rayong,China,Beijing,1,2/27/2010,3,3/2/2010,1,Four Points,4.1,Internet Banking,DBS Paylah,133,19%,0.07,0.16
DDTH00086,1/7/2010,6:38:39,TH00011,Female,19,Thailand,Chonburi,Chaophraya Surasak,Israel,Netanya,1,1/15/2010,1,1/16/2010,1,Jupiter Guests,4.4,Debit Card,United Overseas Bank (UOB),97,22%,0.07,0.13
DDTH00087,1/7/2010,0:54:20,TH00012,Male,43,Thailand,Yala,Yala,Mexico,Leon,1,1/8/2010,3,1/11/2010,1,Hotel Epik,4.6,Credit Card,EZ-Link,318,8%,0.07,0.1
DDSG00088,1/7/2010,12:02:08,SG00019,Male,49,Singapore,West,Bukit Panjang,China,Shanghai,7,2/11/2010,1,2/12/2010,4,Backyard B&B,3.8,Wallet,DBS Bank,98,2%,0.07,0.25
DDSG00089,1/7/2010,20:53:49,SG00020,Female,28,Singapore,North-East,Serangoon,Japan,Nagoya,7,1/13/2010,3,1/16/2010,4,Count on us,4.6,Wallet,DBS Bank,313,4%,0.07,0.17
DDSG00090,1/7/2010,3:02:23,SG00021,Male,22,Singapore,West,Western Islands,Japan,Sapporo,7,1/8/2010,4,1/12/2010,4,Hotel Agoura,4.1,Debit Card,HSBC,162,25%,0.07,0.13
DDSG00091,1/7/2010,21:49:32,SG00022,Female,29,Singapore,West,Bukit Batok,Denmark,Greve,1,2/23/2010,1,2/24/2010,1,Residence Inn by Marriott,3.8,Internet Banking,United Overseas Bank (UOB),99,14%,0.07,0.22
DDMY00092,1/7/2010,6:06:05,MY00020,Female,50,Malaysia,Penang,George Town,Iran,Tehran,3,1/11/2010,7,1/18/2010,2,Quick Stop Hotel,4.2,Debit Card,EZ-Link,312,18%,0.07,0.24
DDPH00093,1/7/2010,21:16:03,PH00014,Male,36,Philippines,Sultan Kudarat,Tacurong,Germany,Essen,4,1/13/2010,1,1/14/2010,2,The Maxwell,4.6,COD,Cash,291,3%,0.07,0.16
DDID00094,1/7/2010,12:01:51,ID00013,Female,35,Indonesia,Kenyam,Papua,Canada,Hamilton,7,1/16/2010,2,1/18/2010,4,Americana Hotel,4.1,Credit Card,Bank of Singapore (BOS),121,9%,0.07,0.15
DDMY00095,1/8/2010,23:04:55,MY00021,Male,43,Malaysia,Melaka,Melaka,Colombia,Bogota,2,2/10/2010,2,2/12/2010,1,Interstellar Motel,4.4,Wallet,HSBC,241,8%,0.07,0.14
DDTH00096,1/8/2010,8:22:28,TH00013,Female,46,Thailand,Chiang Rai,Chiang Rai,Nepal,Pokhara,5,1/14/2010,9,1/23/2010,3,Roadside Motel,4.5,Wallet,Bank of Singapore (BOS),136,1%,0.07,0.13
DDMY00097,1/8/2010,13:48:33,MY00022,Female,20,Malaysia,Kedah,Alor Setar,France,Lyon,5,3/1/2010,1,3/2/2010,3,Emerald Bay Inn,4.6,Debit Card,EZ-Link,162,10%,0.07,0.1
DDMY00098,1/8/2010,3:09:16,MY00023,Female,20,Malaysia,Perak,Ipoh,Canada,Toronto,5,1/28/2010,3,1/31/2010,3,Cosmopolitan Hotel,4.6,Internet Banking,EZ-Link,417,17%,0.07,0.1
DDTH00099,1/8/2010,12:49:14,TH00014,Female,57,Thailand,Yala,Yala,Mexico,Mexico City,2,3/8/2010,1,3/9/2010,1,Town and Country,4.1,Internet Banking,United Overseas Bank (UOB),162,12%,0.07,0.13
DDKH00100,1/8/2010,19:15:24,KH00008,Female,55,Cambodia,Kampong Os,Kandal,Iran,Fars,1,3/16/2010,3,3/19/2010,1,The River Hotel,4.5,Debit Card,Cash,214,19%,0.07,0.22
DDID00101,1/8/2010,15:24:38,ID00014,Female,32,Indonesia,Cimanggis,West Java,New Zealand,Dunedin,3,1/27/2010,6,2/2/2010,2,Millennium Knickerbocker Hotel,4.2,Credit Card,United Overseas Bank (UOB),146,13%,0.07,0.25
DDTH00102,1/8/2010,0:35:32,TH00015,Female,26,Thailand,Pathum Thani,Rangsit,China,Fuyang,3,3/4/2010,2,3/6/2010,2,Palm Bliss,4.2,Wallet,Cash,154,5%,0.07,0.1
DDVN00103,1/8/2010,21:31:48,VN00007,Female,36,Vietnam,Thach Thanh,Thanh Hoa,France,Lyon,3,1/10/2010,1,1/11/2010,2,Quick Stop Hotel,4.2,Wallet,CITI Bank,154,12%,0.07,0.1
DDID00104,1/8/2010,15:04:08,ID00015,Male,30,Indonesia,Rangkiling,Jambi,Iceland,Akranes,5,1/12/2010,7,1/19/2010,3,Expedition,4.1,Internet Banking,Bank of Singapore (BOS),121,13%,0.07,0.15
DDID00105,1/8/2010,22:29:49,ID00016,Male,53,Indonesia,Kupang,East Nusa Tenggara,Egypt,Gizeh,4,3/2/2010,1,3/3/2010,2,The Blue Vivid,3.8,Wallet,Grab,98,13%,0.07,0.25
DDID00106,1/8/2010,13:37:41,ID00017,Female,23,Indonesia,Pamanukan,West Java,Japan,Kobe,7,1/15/2010,9,1/24/2010,4,The Welcome Mat,4.3,Wallet,Cash,142,17%,0.07,0.14
DDTH00107,1/8/2010,16:36:51,TH00016,Female,49,Thailand,Chiang Mai,Chiang Mai,Israel,Beersheba,4,3/20/2010,1,3/21/2010,2,The Oasis Motels,4.6,Internet Banking,EZ-Link,371,23%,0.07,0.18
DDID00108,1/9/2010,10:53:59,ID00018,Male,33,Indonesia,Kupang,East Nusa Tenggara,India,Jaipur,3,1/10/2010,3,1/13/2010,2,The Mosser Hotel,4.6,Debit Card,United Overseas Bank (UOB),303,13%,0.07,0.17
DDPH00109,1/9/2010,4:18:56,PH00015,Male,31,Philippines,Pampanga,Angeles,Italy,Genoa,7,1/10/2010,1,1/11/2010,4,Royal Orbit,4.2,COD,EZ-Link,420,16%,0.07,0.2
DDTH00110,1/9/2010,0:27:51,TH00017,Female,25,Thailand,Chonburi,Laem Chabang,Canada,Calgary,4,4/14/2010,1,4/15/2010,2,The Cozy Cottage,4.6,Credit Card,Grab,291,8%,0.07,0.16
DDSG00111,1/9/2010,12:50:55,SG00023,Male,49,Singapore,Central,Orchard,Egypt,Gizeh,6,3/16/2010,7,3/23/2010,3,Pod 51 Hotel,4.3,COD,Grab,198,6%,0.07,0.23
DDSG00112,1/9/2010,12:48:46,SG00024,Male,36,Singapore,West,Choa Chu Kang,Japan,Sapporo,6,2/2/2010,1,2/3/2010,3,Consulate Hotel,4.3,COD,CITI Bank,125,16%,0.07,0.2
DDMY00113,1/9/2010,16:07:03,MY00024,Female,48,Malaysia,Melaka,Melaka,Italy,Bari,5,3/18/2010,7,3/25/2010,3,The Sebastian Vail,4.5,Wallet,CITI Bank,214,2%,0.07,0.22
DDMY00114,1/9/2010,1:00:46,MY00025,Male,28,Malaysia,Selangor,Petaling Jaya,Egypt,Alexandria,1,3/27/2010,1,3/28/2010,1,Blossomwell Resorts,4.5,COD,United Overseas Bank (UOB),357,13%,0.07,0.17
DDMY00115,1/9/2010,23:42:37,MY00026,Male,36,Malaysia,Sabah,Kota Kinabalu,China,Macau,6,3/6/2010,2,3/8/2010,3,Hotel Lemonade,4.4,Debit Card,DBS Paylah,173,21%,0.07,0.22
DDTH00116,1/10/2010,2:04:59,TH00018,Male,49,Thailand,Nakhon Sawan,Nakhon Sawan,Iceland,Akureyri,6,1/16/2010,3,1/19/2010,3,Heritage Inn,4.4,Credit Card,HSBC,213,13%,0.07,0.24
DDVN00117,1/10/2010,13:16:55,VN00008,Female,34,Vietnam,Dong Hoi,Quang Binh,Egypt,Gizeh,5,1/11/2010,3,1/14/2010,3,Sea Side Den,3.8,Debit Card,CITI Bank,93,2%,0.07,0.22
DDID00118,1/10/2010,9:46:33,ID00019,Male,29,Indonesia,Mandiangin,Jambi,Colombia,Soacha,4,1/29/2010,8,2/6/2010,2,Cape Grace,4.6,COD,United Overseas Bank (UOB),333,12%,0.07,0.14
